"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,997639,997639,256,6,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",7.50000000e-01,6125129674799822,6125129674803229
2,2,"Agent 1",1,997639,997639,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"FETCH_SIZE",131075.000000,6125129675444986,6125129704678473
3,3,"Agent 1",1,997639,997639,256,6,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",5.62500000e-01,6125129704712376,6125129704714540
4,4,"Agent 1",1,997639,997639,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"FETCH_SIZE",131072.125000,6125129704737563,6125129733952420
5,5,"Agent 1",1,997639,997639,256,6,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",6.25000000e-01,6125129734001051,6125129734003175
6,6,"Agent 1",1,997639,997639,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"FETCH_SIZE",131072.250000,6125129734024976,6125129763229534
7,7,"Agent 1",1,997639,997639,256,6,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",5.00000000e-01,6125129763254782,6125129763256906
8,8,"Agent 1",1,997639,997639,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"FETCH_SIZE",131072.125000,6125129763279388,6125129792488915
9,9,"Agent 1",1,997639,997639,256,6,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",3.75000000e-01,6125129792516927,6125129792519051
10,10,"Agent 1",1,997639,997639,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"FETCH_SIZE",131072.125000,6125129792542054,6125129821765608
11,11,"Agent 1",1,997639,997639,256,6,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",2.50000000e-01,6125129821790134,6125129821791416
12,12,"Agent 1",1,997639,997639,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"FETCH_SIZE",131072.250000,6125129821813341,6125129851015901
13,13,"Agent 1",1,997639,997639,256,6,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"FETCH_SIZE",3.75000000e-01,6125129851042831,6125129851044915
14,14,"Agent 1",1,997639,997639,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"FETCH_SIZE",131072.125000,6125129851067076,6125129880283863
15,15,"Agent 1",1,997639,997639,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"FETCH_SIZE",1.87500000e-01,6125129880324189,6125129880327155
