"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,997655,997655,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"WRITE_SIZE",3.12500000e-02,6125130494776427,6125130494779513
2,2,"Agent 1",1,997655,997655,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"WRITE_SIZE",0.00000000e+00,6125130495235016,6125130524472963
3,3,"Agent 1",1,997655,997655,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"WRITE_SIZE",0.00000000e+00,6125130524498330,6125130524500494
4,4,"Agent 1",1,997655,997655,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"WRITE_SIZE",0.00000000e+00,6125130524520925,6125130553749264
5,5,"Agent 1",1,997655,997655,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"WRITE_SIZE",0.00000000e+00,6125130553795380,6125130553797544
6,6,"Agent 1",1,997655,997655,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"WRITE_SIZE",0.00000000e+00,6125130553816967,6125130583044111
7,7,"Agent 1",1,997655,997655,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"WRITE_SIZE",0.00000000e+00,6125130583067474,6125130583069598
8,8,"Agent 1",1,997655,997655,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"WRITE_SIZE",0.00000000e+00,6125130583088995,6125130612303195
9,9,"Agent 1",1,997655,997655,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"WRITE_SIZE",0.00000000e+00,6125130612324715,6125130612327120
10,10,"Agent 1",1,997655,997655,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"WRITE_SIZE",0.00000000e+00,6125130612347139,6125130641566038
11,11,"Agent 1",1,997655,997655,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"WRITE_SIZE",0.00000000e+00,6125130641590042,6125130641592166
12,12,"Agent 1",1,997655,997655,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"WRITE_SIZE",0.00000000e+00,6125130641611803,6125130670830903
13,13,"Agent 1",1,997655,997655,256,3,"__amd_rocclr_fillBufferAligned",256,0,0,16,0,128,"WRITE_SIZE",0.00000000e+00,6125130670851462,6125130670852784
14,14,"Agent 1",1,997655,997655,67108864,20,"reduce_v1_lds(float const*, float*, int)",256,0,0,8,0,128,"WRITE_SIZE",0.00000000e+00,6125130670871914,6125130700091251
15,15,"Agent 1",1,997655,997655,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"WRITE_SIZE",3.12500000e-02,6125130700130333,6125130700133540
